aceleracaoMinima,audioMinimo,aceleracaoMaxima,audioMaximo,aceleracaoMedia,audioMedio,aceleracaoVariancia,audioVariancia,aceleracaoRMS,audioRMS,aceleracaoMaxFreAmp1,aceleracaoMaxFreAmp2,aceleracaoMaxFreAmp3,aceleracaoMaxFreAmp4,aceleracaoMaxFreAmp5,aceleracaoMaxFre1,aceleracaoMaxFre2,aceleracaoMaxFre3,aceleracaoMaxFre4,aceleracaoMaxFre5,audioMaxFreAmp1,audioMaxFreAmp2,audioMaxFreAmp3,audioMaxFreAmp4,audioMaxFreAmp5,audioMaxFre1,audioMaxFre2,audioMaxFre3,audioMaxFre4,audioMaxFre5,temperaturaFerramenta,experimento
-167.2748,-719.652,207.9737,998.8725,-4.8377517,-23.653336,80.489101,465.7211,80.419244,465.07607,51.87497,51.638246,39.51387,32.033738,25.445169,537.63441,1612.9032,4301.0753,6451.6129,7526.8817,608.19729,177.59609,128.73725,73.814583,58.238609,537.63441,1075.2688,1612.9032,2150.5376,3225.8065,55,f025 ap030 ac
-214.2763,-679.6995,261.0441,885.6607,10.637546,18.68835,92.773791,488.74363,93.134887,487.7932,76.767921,51.140845,50.965261,38.530623,33.858463,2688.172,3763.4409,5376.3441,5913.9785,7526.8817,660.0534,114.41745,114.2475,81.577131,46.871562,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,55.64,f025 ap030 ac
-229.5714,-696.027,181.6382,723.5665,9.5635837,17.336388,83.892746,401.34615,84.212936,400.64685,49.414242,47.10352,41.432967,38.990446,33.297824,4301.0753,4838.7097,5376.3441,5913.9785,7526.8817,467.22619,221.5604,116.37131,98.839084,85.955324,1075.2688,1612.9032,2150.5376,2688.172,4301.0753,54.31,f025 ap030 ac
-190.08,-789.6665,181.6382,723.5665,-3.3744127,0.18640551,84.026489,354.71829,83.869429,353.76862,57.674412,53.565461,40.999413,32.085597,31.100972,1612.9032,4301.0753,4838.7097,5376.3441,5913.9785,429.50519,181.14267,105.51517,84.82951,65.254009,1612.9032,2150.5376,3225.8065,4838.7097,6451.6129,55.36,f025 ap030 ac
-181.3893,-520.6482,258.3076,684.3855,-1.2961398,44.126718,98.766144,312.62117,98.510237,314.8913,84.51469,56.602843,39.412716,35.308367,35.164713,1612.9032,2688.172,4301.0753,5376.3441,8064.5161,252.1699,234.30008,213.50084,112.86366,81.35652,537.63441,1075.2688,1612.9032,2150.5376,3763.4409,55.11,f025 ap030 ac
-252.4425,-662.2449,267.186,826.8932,8.2682198,20.636498,113.7277,452.42481,113.72418,451.68516,95.41195,59.142739,52.390364,48.78627,36.849988,1612.9032,3763.4409,4301.0753,5376.3441,5913.9785,507.81851,273.74364,152.08968,147.57794,95.930543,537.63441,1612.9032,2150.5376,2688.172,3225.8065,54.39,f025 ap030 ac
-394.3917,-333.1478,264.8149,422.008,4.338674,21.288752,106.49369,184.64685,106.29714,185.37893,53.764207,49.119839,48.849311,48.246216,46.083659,1612.9032,2150.5376,4838.7097,5376.3441,6451.6129,170.27282,102.76376,78.196831,75.619637,62.932278,1075.2688,1612.9032,2150.5376,3225.8065,3763.4409,54.77,f025 ap030 ac
-271.0995,-300.7983,212.7328,351.5089,-25.1474284,2.94740681,10227.6946,18492.5019,103.947584,135.653113,79.175241,50.630536,43.5858488,40.287448,36.9924494,1075.26882,3763.44086,4301.07527,5376.34409,8064.51613,125.641893,76.7673305,70.0835261,61.7604856,41.2714582,1075.26882,1612.90323,2150.53763,2688.17204,8064.51613,43.44,f010 ap100 ac
-212.3329,-341.3424,226.5093,199.6265,-10.5183312,-0.72482996,7541.68009,12385.9642,87.2466936,110.996642,66.2019923,59.3267776,33.4413371,30.3033119,27.2413539,4301.07527,5376.34409,5913.97849,6451.6129,7526.88172,86.0288722,66.1815172,48.7109235,46.700051,46.2410586,537.634409,1075.26882,1612.90323,2150.53763,8064.51613,42.5,f010 ap100 ac
-229.3372,-403.1113,215.4032,398.1804,1.32471898,-6.81749111,10433.6534,38004.162,101.880388,194.544106,84.3134338,62.686341,47.3942045,29.8916202,29.5072019,4301.07527,4838.70968,5376.34409,6451.6129,8064.51613,244.85927,83.9007293,51.6425773,41.9594524,36.3618905,537.634409,1075.26882,1612.90323,2150.53763,7526.88172,43.73,f010 ap100 ac
-272.0454,-323.1212,232.6569,216.1213,-14.4676778,18.7174691,11167.471,16363.3082,106.381698,128.942419,97.5151812,68.2311823,35.9232607,34.2362304,29.3251694,4301.07527,4838.70968,5376.34409,8064.51613,9677.41935,121.998016,88.3260561,63.3234734,47.3157312,32.0681255,537.634409,1075.26882,1612.90323,2150.53763,8064.51613,42.84,f010 ap100 ac
-272.0454,-259.1373,295.3749,259.3538,-2.29539818,2.32653127,12081.2387,13466.501,109.644434,115.757939,74.4255956,71.3262253,70.7741489,36.0023685,35.1529692,3763.44086,4301.07527,4838.70968,5376.34409,6451.6129,95.5419865,75.0699922,70.9046534,35.7780969,33.9533643,537.634409,1612.90323,2150.53763,2688.17204,8064.51613,41.84,f010 ap100 ac
-228.1327,-220.7617,195.0896,335.828,5.13622498,-21.0842301,9098.79148,14865.6073,95.2707492,123.412547,54.1991784,47.6864632,47.1815375,41.4332195,41.321015,1612.90323,4838.70968,5376.34409,5913.97849,7526.88172,100.505506,80.7638329,69.0892234,54.543851,39.9700571,1075.26882,1612.90323,2150.53763,3225.80645,8064.51613,42.79,f010 ap100 ac
-169.5876,-189.8195,272.3793,273.9006,8.5219985,-12.063698,7411.60739,13101.3862,86.2820815,114.790496,64.8140628,59.3393259,37.5380401,32.8494994,31.7227978,1612.90323,4301.07527,5376.34409,6451.6129,8064.51613,111.823129,100.523997,29.9131399,26.0877444,21.794944,537.634409,1075.26882,2150.53763,2688.17204,5376.34409,42.94,f010 ap100 ac
-395.5118,-284.6905,423.5303,205.1097,-13.3842361,-21.4161895,22978.3215,14373.2219,151.771475,121.470214,129.791529,95.5777483,90.5674183,69.4659775,37.7557476,2150.53763,4301.07527,4838.70968,5376.34409,5913.97849,125.438612,63.5624265,44.864088,37.9134912,36.8081654,537.634409,1075.26882,1612.90323,2150.53763,5913.97849,43.1,f010 ap100 ac
-215.486,-197.3041,173.1371,343.4605,-28.0352162,27.0007108,9050.01613,13189.8989,98.9322681,117.679238,76.6053333,56.2845697,48.3139216,34.0931701,29.1383554,1612.90323,3225.80645,3763.44086,4301.07527,7526.88172,120.741898,57.6808223,54.4515905,34.7050795,30.4757396,1075.26882,1612.90323,2688.17204,4838.70968,7526.88172,42.57,f010 ap100 ac
-275.6883,-377.9624,227.1606,349.309,-2.31752143,8.7210554,7731.99484,23831.8155,87.7269524,154.209045,54.1382806,47.3732367,40.0251307,33.1635546,32.5484399,1612.90323,3763.44086,5376.34409,5913.97849,8064.51613,154.922645,82.4558981,75.6059512,68.1738629,37.0265289,1075.26882,1612.90323,2150.53763,2688.17204,3225.80645,43.11,f010 ap100 ac
-215.7402,-201.7841,292.8979,155.083,3.05583987,-17.5517918,9062.21432,6333.81262,94.9899544,81.289651,64.4001184,59.8956356,58.2729389,49.8268931,38.9242287,2150.53763,3763.44086,4301.07527,4838.70968,5376.34409,61.1456221,46.8582036,28.9427992,27.0987257,26.9399338,537.634409,1075.26882,2150.53763,5913.97849,7526.88172,43.13,f010 ap100 ac
